sample interval	    ECG	     BP	(C4-A1)	p (sum)
           7392	  0.060	 59.023	 -0.015	 -0.528
           7393	  0.060	 59.023	 -0.013	 -0.516
           7394	  0.060	 58.814	 -0.014	 -0.497
           7395	  0.045	 59.651	 -0.016	 -0.488
           7396	  0.065	 59.651	 -0.015	 -0.506
           7397	  0.055	 59.860	 -0.013	 -0.510
           7398	  0.060	 59.651	 -0.012	 -0.532
           7399	  0.060	 60.279	 -0.012	 -0.528
           7400	  0.075	 60.488	 -0.011	 -0.539
           7401	  0.080	 60.698	 -0.012	 -0.532
           7402	  0.065	 60.698	 -0.013	 -0.535
           7403	  0.060	 61.116	 -0.015	 -0.526
           7404	  0.060	 61.326	 -0.017	 -0.528
           7405	  0.075	 61.535	 -0.019	 -0.519
           7406	  0.070	 61.744	 -0.023	 -0.519
           7407	  0.075	 61.744	 -0.021	 -0.501
           7408	  0.070	 61.744	 -0.020	 -0.499
           7409	  0.060	 62.163	 -0.021	 -0.496
           7410	  0.070	 62.372	 -0.021	 -0.500
           7411	  0.065	 61.953	 -0.018	 -0.504
           7412	  0.070	 62.372	 -0.014	 -0.504
           7413	  0.075	 62.372	 -0.013	 -0.510
           7414	  0.070	 62.581	 -0.009	 -0.504
           7415	  0.070	 62.163	 -0.007	 -0.504
           7416	  0.080	 61.953	 -0.009	 -0.494
           7417	  0.075	 62.163	 -0.008	 -0.494
           7418	  0.080	 62.372	 -0.007	 -0.499
           7419	  0.080	 62.163	 -0.010	 -0.496
           7420	  0.090	 61.953	 -0.014	 -0.468
           7421	  0.070	 62.163	 -0.015	 -0.487
           7422	  0.080	 61.744	 -0.015	 -0.496
           7423	  0.080	 61.953	 -0.016	 -0.513
           7424	  0.080	 61.744	 -0.019	 -0.494
           7425	  0.080	 61.744	 -0.021	 -0.494
           7426	  0.090	 61.535	 -0.018	 -0.483
           7427	  0.075	 61.326	 -0.018	 -0.491
           7428	  0.080	 61.116	 -0.016	 -0.494
           7429	  0.080	 60.907	 -0.013	 -0.488
           7430	  0.090	 60.907	 -0.013	 -0.462
           7431	  0.080	 60.488	 -0.014	 -0.481
           7432	  0.085	 60.279	 -0.012	 -0.470
           7433	  0.080	 59.860	 -0.008	 -0.464
           7434	  0.080	 60.488	 -0.010	 -0.486
           7435	  0.085	 59.651	 -0.010	 -0.475
           7436	  0.080	 58.814	 -0.010	 -0.483
           7437	  0.085	 58.814	 -0.010	 -0.491
           7438	  0.085	 58.605	 -0.012	 -0.503
           7439	  0.090	 58.814	 -0.012	 -0.496
           7440	  0.100	 58.186	 -0.013	 -0.484
           7441	  0.085	 57.977	 -0.016	 -0.468
           7442	  0.075	 57.977	 -0.014	 -0.484
           7443	  0.090	 57.349	 -0.012	 -0.452
           7444	  0.075	 57.140	 -0.012	 -0.470
           7445	  0.105	 56.930	 -0.012	 -0.448
           7446	  0.085	 56.302	 -0.011	 -0.475
           7447	  0.100	 56.512	 -0.009	 -0.457
           7448	  0.105	 56.302	 -0.008	 -0.472
           7449	  0.105	 55.465	 -0.008	 -0.477
           7450	  0.120	 55.465	 -0.007	 -0.470
           7451	  0.115	 55.046	 -0.008	 -0.462
           7452	  0.110	 54.628	 -0.008	 -0.475
           7453	  0.135	 54.628	 -0.007	 -0.452
           7454	  0.135	 54.419	 -0.004	 -0.449
           7455	  0.140	 54.209	 -0.003	 -0.458
           7456	  0.140	 54.000	 -0.003	 -0.442
           7457	  0.130	 53.163	  0.001	 -0.452
           7458	  0.140	 53.163	  0.004	 -0.441
           7459	  0.140	 53.372	  0.003	 -0.459
           7460	  0.135	 52.744	 -0.000	 -0.454
           7461	  0.135	 52.116	 -0.000	 -0.464
           7462	  0.125	 51.907	 -0.000	 -0.477
           7463	  0.120	 52.116	 -0.002	 -0.464
           7464	  0.100	 51.698	  0.001	 -0.464
           7465	  0.115	 51.279	 -0.000	 -0.464
           7466	  0.110	 51.070	 -0.003	 -0.446
           7467	  0.100	 50.860	 -0.004	 -0.441
           7468	  0.080	 50.442	 -0.005	 -0.445
           7469	  0.100	 50.651	 -0.010	 -0.436
           7470	  0.080	 50.442	 -0.016	 -0.433
           7471	  0.070	 50.442	 -0.018	 -0.458
           7472	  0.080	 50.023	 -0.016	 -0.443
           7473	  0.080	 49.186	 -0.015	 -0.467
           7474	  0.080	 49.605	 -0.014	 -0.458
           7475	  0.080	 49.605	 -0.012	 -0.471
           7476	  0.080	 49.186	 -0.011	 -0.451
           7477	  0.090	 49.395	 -0.011	 -0.459
           7478	  0.085	 48.767	 -0.009	 -0.442
           7479	  0.085	 48.767	 -0.008	 -0.435
           7480	  0.080	 48.767	 -0.008	 -0.445
           7481	  0.080	 48.140	 -0.009	 -0.439
           7482	  0.095	 48.140	 -0.007	 -0.423
           7483	  0.095	 47.930	 -0.004	 -0.442
           7484	  0.085	 47.930	 -0.008	 -0.448
           7485	  0.090	 47.721	 -0.012	 -0.438
           7486	  0.085	 47.093	 -0.012	 -0.452
           7487	  0.090	 47.093	 -0.015	 -0.445
           7488	  0.140	 47.302	 -0.017	 -0.454
           7489	  0.160	 46.884	 -0.014	 -0.429
           7490	  0.240	 47.093	 -0.011	 -0.441
           7491	  0.350	 46.674	 -0.008	 -0.429
           7492	  0.535	 46.465	  0.002	 -0.412
           7493	  0.760	 46.465	  0.010	 -0.406
           7494	  0.910	 46.256	  0.012	 -0.419
           7495	  0.940	 46.046	  0.004	 -0.420
           7496	  0.720	 46.046	 -0.007	 -0.448
           7497	  0.375	 45.628	 -0.019	 -0.436
           7498	  0.010	 46.046	 -0.031	 -0.449
           7499	 -0.240	 45.837	 -0.036	 -0.442
           7500	 -0.325	 45.628	 -0.037	 -0.454
           7501	 -0.280	 46.046	 -0.033	 -0.433
           7502	 -0.170	 45.837	 -0.030	 -0.446
           7503	 -0.090	 45.419	 -0.028	 -0.443
           7504	 -0.045	 45.419	 -0.027	 -0.435
           7505	 -0.015	 45.628	 -0.025	 -0.429
           7506	  0.020	 45.419	 -0.027	 -0.435
           7507	  0.045	 44.791	 -0.024	 -0.442
           7508	  0.070	 45.209	 -0.018	 -0.438
           7509	  0.080	 45.000	 -0.021	 -0.438
           7510	  0.065	 44.791	 -0.022	 -0.452
           7511	  0.065	 44.581	 -0.021	 -0.449
           7512	  0.075	 44.581	 -0.022	 -0.433
           7513	  0.085	 45.209	 -0.023	 -0.452
           7514	  0.085	 45.000	 -0.020	 -0.436
           7515	  0.090	 44.163	 -0.021	 -0.423
           7516	  0.085	 44.581	 -0.022	 -0.412
           7517	  0.080	 44.163	 -0.021	 -0.417
           7518	  0.080	 44.581	 -0.020	 -0.416
           7519	  0.085	 43.953	 -0.023	 -0.429
           7520	  0.100	 43.953	 -0.026	 -0.420
           7521	  0.100	 43.744	 -0.026	 -0.429
           7522	  0.100	 44.163	 -0.026	 -0.417
           7523	  0.110	 43.744	 -0.028	 -0.443
           7524	  0.100	 43.744	 -0.032	 -0.435
           7525	  0.110	 43.953	 -0.035	 -0.423
           7526	  0.110	 44.372	 -0.036	 -0.429
           7527	  0.100	 43.744	 -0.038	 -0.432
           7528	  0.110	 43.535	 -0.040	 -0.420
           7529	  0.120	 43.953	 -0.039	 -0.406
           7530	  0.120	 43.953	 -0.039	 -0.400
           7531	  0.125	 43.326	 -0.040	 -0.406
           7532	  0.120	 43.535	 -0.036	 -0.423
           7533	  0.120	 43.535	 -0.032	 -0.435
           7534	  0.125	 43.744	 -0.032	 -0.423
           7535	  0.140	 43.535	 -0.031	 -0.433
           7536	  0.125	 42.907	 -0.024	 -0.441
           7537	  0.140	 42.698	 -0.021	 -0.426
           7538	  0.130	 43.535	 -0.017	 -0.442
           7539	  0.150	 43.326	 -0.015	 -0.413
           7540	  0.145	 43.116	 -0.013	 -0.419
           7541	  0.155	 43.744	 -0.012	 -0.417
           7542	  0.160	 44.791	 -0.009	 -0.412
           7543	  0.160	 46.256	 -0.005	 -0.399
           7544	  0.180	 47.721	 -0.006	 -0.400
           7545	  0.160	 49.605	 -0.009	 -0.414
           7546	  0.175	 51.698	 -0.010	 -0.422
           7547	  0.180	 53.791	 -0.011	 -0.409
           7548	  0.180	 56.302	 -0.010	 -0.438
           7549	  0.205	 58.814	 -0.010	 -0.407
           7550	  0.205	 61.535	 -0.010	 -0.436
           7551	  0.205	 64.465	 -0.010	 -0.400
           7552	  0.210	 67.395	 -0.011	 -0.410
           7553	  0.210	 70.116	 -0.012	 -0.406
           7554	  0.220	 72.628	 -0.013	 -0.388
           7555	  0.230	 75.767	 -0.014	 -0.394
           7556	  0.215	 78.698	 -0.015	 -0.417
           7557	  0.235	 81.419	 -0.012	 -0.401
           7558	  0.240	 83.930	 -0.010	 -0.428
           7559	  0.220	 86.651	 -0.014	 -0.413
           7560	  0.225	 88.326	 -0.017	 -0.435
           7561	  0.220	 90.837	 -0.019	 -0.422
           7562	  0.215	 92.721	 -0.021	 -0.426
           7563	  0.230	 94.605	 -0.023	 -0.412
           7564	  0.210	 96.279	 -0.023	 -0.425
           7565	  0.205	 97.535	 -0.024	 -0.396
           7566	  0.205	 99.000	 -0.026	 -0.394
           7567	  0.190	 99.837	 -0.024	 -0.409
           7568	  0.175	100.674	 -0.022	 -0.407
           7569	  0.180	101.512	 -0.022	 -0.400
           7570	  0.170	102.139	 -0.024	 -0.406
           7571	  0.140	102.767	 -0.024	 -0.435
           7572	  0.130	102.558	 -0.024	 -0.419
           7573	  0.120	102.349	 -0.024	 -0.417
           7574	  0.095	102.349	 -0.026	 -0.426
           7575	  0.080	101.512	 -0.028	 -0.433
           7576	  0.080	100.674	 -0.030	 -0.420
           7577	  0.045	100.046	 -0.032	 -0.419
           7578	  0.040	 99.419	 -0.035	 -0.407
           7579	  0.030	 98.163	 -0.038	 -0.406
           7580	  0.020	 96.698	 -0.039	 -0.391
           7581	  0.015	 95.233	 -0.042	 -0.401
           7582	  0.020	 93.767	 -0.037	 -0.407
           7583	 -0.000	 92.302	 -0.035	 -0.430
           7584	  0.005	 91.465	 -0.036	 -0.426
           7585	 -0.000	 90.209	 -0.037	 -0.433
           7586	 -0.005	 87.907	 -0.033	 -0.422
           7587	 -0.000	 86.651	 -0.032	 -0.412
           7588	 -0.005	 86.233	 -0.031	 -0.403
           7589	 -0.000	 84.558	 -0.029	 -0.397
           7590	 -0.000	 83.302	 -0.028	 -0.399
           7591	 -0.005	 82.256	 -0.028	 -0.377
           7592	 -0.000	 81.419	 -0.026	 -0.394
           7593	 -0.000	 79.744	 -0.023	 -0.375
           7594	 -0.000	 78.907	 -0.023	 -0.396
           7595	 -0.000	 78.070	 -0.024	 -0.401
           7596	 -0.000	 77.233	 -0.025	 -0.406
           7597	  0.015	 76.395	 -0.022	 -0.394
           7598	  0.005	 75.767	 -0.021	 -0.412
           7599	  0.010	 74.302	 -0.022	 -0.407
           7600	  0.010	 73.884	 -0.021	 -0.400
           7601	  0.020	 73.046	 -0.022	 -0.378
           7602	  0.015	 72.419	 -0.025	 -0.394
           7603	 -0.000	 72.000	 -0.025	 -0.372
           7604	  0.005	 71.581	 -0.023	 -0.386
           7605	  0.015	 70.326	 -0.022	 -0.384
           7606	  0.025	 69.698	 -0.021	 -0.383
           7607	  0.020	 69.279	 -0.019	 -0.400
           7608	  0.020	 68.023	 -0.017	 -0.414
           7609	  0.020	 68.023	 -0.018	 -0.404
           7610	  0.030	 67.186	 -0.021	 -0.391
           7611	  0.035	 65.930	 -0.019	 -0.394
           7612	  0.040	 66.140	 -0.019	 -0.397
           7613	  0.035	 65.302	 -0.021	 -0.401
           7614	  0.035	 64.256	 -0.019	 -0.386
           7615	  0.045	 63.419	 -0.022	 -0.377
           7616	  0.045	 63.000	 -0.022	 -0.387
           7617	  0.035	 62.372	 -0.023	 -0.384
           7618	  0.045	 61.744	 -0.020	 -0.380
           7619	  0.050	 61.326	 -0.022	 -0.407
           7620	  0.040	 61.116	 -0.024	 -0.406
           7621	  0.035	 60.488	 -0.024	 -0.412
           7622	  0.040	 60.070	 -0.023	 -0.391
           7623	  0.045	 59.651	 -0.023	 -0.399
           7624	  0.045	 59.651	 -0.023	 -0.388
           7625	  0.050	 58.814	 -0.024	 -0.396
           7626	  0.060	 58.605	 -0.024	 -0.394
           7627	  0.040	 58.605	 -0.025	 -0.388
           7628	  0.060	 57.977	 -0.025	 -0.368
           7629	  0.055	 57.977	 -0.024	 -0.391
           7630	  0.045	 57.767	 -0.024	 -0.388
           7631	  0.050	 57.977	 -0.025	 -0.393
           7632	  0.070	 57.558	 -0.023	 -0.388
           7633	  0.060	 57.558	 -0.020	 -0.403
           7634	  0.060	 57.977	 -0.021	 -0.404
           7635	  0.050	 57.977	 -0.020	 -0.407
           7636	  0.040	 57.349	 -0.017	 -0.401
           7637	  0.050	 57.977	 -0.016	 -0.378
           7638	  0.060	 58.186	 -0.017	 -0.380
           7639	  0.060	 57.977	 -0.016	 -0.383
           7640	  0.050	 58.814	 -0.018	 -0.371
           7641	  0.060	 58.814	 -0.019	 -0.362
           7642	  0.050	 59.023	 -0.019	 -0.383
           7643	  0.055	 59.651	 -0.016	 -0.371
           7644	  0.065	 59.442	 -0.017	 -0.390
           7645	  0.070	 59.651	 -0.017	 -0.399
           7646	  0.040	 60.070	 -0.016	 -0.406
           7647	  0.060	 60.488	 -0.014	 -0.383
           7648	  0.060	 60.907	 -0.011	 -0.377
           7649	  0.065	 60.488	 -0.010	 -0.381
           7650	  0.060	 60.698	 -0.009	 -0.377
           7651	  0.060	 60.907	 -0.006	 -0.354
           7652	  0.050	 61.535	 -0.006	 -0.377
           7653	  0.060	 61.326	 -0.004	 -0.354
           7654	  0.070	 61.326	 -0.003	 -0.377
           7655	  0.060	 61.953	 -0.004	 -0.370
           7656	  0.070	 61.535	 -0.007	 -0.374
           7657	  0.070	 61.326	 -0.005	 -0.388
           7658	  0.070	 61.744	 -0.004	 -0.383
           7659	  0.075	 61.953	 -0.006	 -0.374
           7660	  0.080	 61.953	 -0.005	 -0.381
           7661	  0.065	 61.535	 -0.006	 -0.380
           7662	  0.080	 61.744	 -0.005	 -0.355
           7663	  0.080	 61.953	 -0.006	 -0.359
           7664	  0.075	 62.163	 -0.006	 -0.346
           7665	  0.090	 61.744	 -0.007	 -0.359
           7666	  0.075	 61.744	 -0.008	 -0.336
           7667	  0.080	 62.163	 -0.008	 -0.359
           7668	  0.080	 61.744	 -0.007	 -0.349
           7669	  0.085	 61.326	 -0.007	 -0.377
           7670	  0.060	 61.744	 -0.008	 -0.355
           7671	  0.080	 61.535	 -0.010	 -0.367
           7672	  0.080	 61.744	 -0.008	 -0.359
           7673	  0.080	 61.535	 -0.009	 -0.354
           7674	  0.080	 61.326	 -0.011	 -0.364
           7675	  0.070	 60.907	 -0.011	 -0.345
           7676	  0.070	 61.116	 -0.013	 -0.338
           7677	  0.080	 60.907	 -0.013	 -0.345
           7678	  0.065	 60.070	 -0.014	 -0.330
           7679	  0.075	 59.860	 -0.012	 -0.351
           7680	  0.070	 60.279	 -0.012	 -0.341
           7681	  0.080	 60.070	 -0.012	 -0.361
           7682	  0.085	 59.442	 -0.010	 -0.354
           7683	  0.080	 58.814	 -0.006	 -0.371
           7684	  0.075	 59.023	 -0.006	 -0.351
           7685	  0.080	 58.605	 -0.007	 -0.364
           7686	  0.080	 57.977	 -0.004	 -0.342
           7687	  0.090	 57.977	 -0.003	 -0.352
           7688	  0.090	 57.558	 -0.004	 -0.330
           7689	  0.085	 57.349	 -0.002	 -0.323
           7690	  0.095	 57.140	 -0.001	 -0.330
           7691	  0.085	 56.930	 -0.005	 -0.325
           7692	  0.085	 56.721	 -0.006	 -0.328
           7693	  0.100	 56.302	 -0.006	 -0.336
           7694	  0.100	 55.884	 -0.007	 -0.342
           7695	  0.105	 55.465	 -0.010	 -0.328
           7696	  0.110	 55.465	 -0.011	 -0.346
           7697	  0.105	 54.628	 -0.011	 -0.323
           7698	  0.120	 54.628	 -0.011	 -0.319
           7699	  0.120	 54.419	 -0.012	 -0.316
           7700	  0.120	 54.000	 -0.011	 -0.313
           7701	  0.115	 53.791	 -0.011	 -0.297
           7702	  0.125	 53.581	 -0.009	 -0.301
           7703	  0.140	 52.953	 -0.009	 -0.303
           7704	  0.145	 52.953	 -0.008	 -0.319
           7705	  0.160	 52.953	 -0.009	 -0.306
           7706	  0.145	 52.953	 -0.011	 -0.313
           7707	  0.150	 52.535	 -0.008	 -0.325
           7708	  0.140	 52.326	 -0.006	 -0.313
           7709	  0.125	 52.116	 -0.007	 -0.314
           7710	  0.135	 52.116	 -0.007	 -0.314
           7711	  0.130	 51.488	 -0.004	 -0.307
           7712	  0.125	 51.279	 -0.004	 -0.294
           7713	  0.110	 51.488	 -0.005	 -0.284
           7714	  0.100	 50.860	 -0.004	 -0.284
           7715	  0.120	 50.442	 -0.006	 -0.290
           7716	  0.100	 50.233	 -0.009	 -0.290
           7717	  0.100	 50.233	 -0.010	 -0.300
           7718	  0.095	 49.814	 -0.006	 -0.299
           7719	  0.085	 49.605	 -0.009	 -0.312
           7720	  0.080	 49.395	 -0.010	 -0.309
           7721	  0.075	 49.605	 -0.012	 -0.316
           7722	  0.090	 49.605	 -0.009	 -0.307
           7723	  0.080	 48.977	 -0.011	 -0.307
           7724	  0.090	 48.558	 -0.012	 -0.301
           7725	  0.085	 47.930	 -0.015	 -0.297
           7726	  0.090	 48.558	 -0.015	 -0.286
           7727	  0.080	 48.767	 -0.015	 -0.296
           7728	  0.090	 48.349	 -0.017	 -0.287
           7729	  0.080	 47.721	 -0.018	 -0.303
           7730	  0.080	 47.930	 -0.019	 -0.303
           7731	  0.080	 48.140	 -0.022	 -0.310
           7732	  0.090	 47.721	 -0.023	 -0.310
           7733	  0.080	 47.512	 -0.022	 -0.319
           7734	  0.090	 47.302	 -0.027	 -0.317
           7735	  0.080	 47.721	 -0.032	 -0.309
           7736	  0.070	 47.093	 -0.034	 -0.301
           7737	  0.085	 47.093	 -0.036	 -0.296
           7738	  0.130	 47.302	 -0.038	 -0.290
           7739	  0.160	 46.674	 -0.036	 -0.286
           7740	  0.225	 46.046	 -0.032	 -0.280
           7741	  0.365	 46.256	 -0.025	 -0.296
           7742	  0.540	 46.256	 -0.016	 -0.303
           7743	  0.755	 46.256	 -0.005	 -0.306
           7744	  0.900	 45.628	 -0.002	 -0.303
           7745	  0.935	 45.837	 -0.011	 -0.304
           7746	  0.715	 45.419	 -0.021	 -0.300
           7747	  0.380	 45.419	 -0.034	 -0.291
           7748	  0.005	 45.628	 -0.046	 -0.300
           7749	 -0.230	 45.209	 -0.054	 -0.288
           7750	 -0.325	 45.419	 -0.058	 -0.293
           7751	 -0.280	 45.419	 -0.055	 -0.278
           7752	 -0.170	 45.209	 -0.055	 -0.290
           7753	 -0.085	 44.791	 -0.052	 -0.278
           7754	 -0.040	 44.581	 -0.049	 -0.306
           7755	  0.010	 44.791	 -0.046	 -0.297
           7756	  0.040	 45.000	 -0.045	 -0.296
           7757	  0.060	 44.581	 -0.041	 -0.299
           7758	  0.085	 44.581	 -0.037	 -0.291
           7759	  0.070	 45.209	 -0.038	 -0.281
           7760	  0.075	 44.581	 -0.038	 -0.280
           7761	  0.060	 44.372	 -0.035	 -0.280
           7762	  0.080	 44.163	 -0.034	 -0.283
           7763	  0.085	 44.791	 -0.033	 -0.267
           7764	  0.080	 44.372	 -0.030	 -0.267
           7765	  0.075	 44.163	 -0.030	 -0.278
           7766	  0.080	 43.953	 -0.031	 -0.278
           7767	  0.095	 44.372	 -0.030	 -0.290
           7768	  0.100	 43.953	 -0.029	 -0.284
           7769	  0.085	 43.744	 -0.029	 -0.294
           7770	  0.105	 43.744	 -0.031	 -0.278
           7771	  0.100	 43.744	 -0.033	 -0.287
           7772	  0.095	 43.744	 -0.032	 -0.277
           7773	  0.105	 43.744	 -0.035	 -0.272
           7774	  0.100	 43.744	 -0.037	 -0.267
           7775	  0.105	 43.116	 -0.037	 -0.267
           7776	  0.125	 43.116	 -0.037	 -0.249
           7777	  0.110	 43.326	 -0.038	 -0.267
           7778	  0.110	 42.907	 -0.037	 -0.274
           7779	  0.135	 42.907	 -0.036	 -0.290
           7780	  0.125	 43.535	 -0.035	 -0.286
           7781	  0.130	 42.698	 -0.037	 -0.290
           7782	  0.120	 42.907	 -0.037	 -0.303
           7783	  0.135	 42.907	 -0.037	 -0.290
           7784	  0.150	 42.907	 -0.041	 -0.286
           7785	  0.140	 42.488	 -0.044	 -0.284
           7786	  0.140	 42.070	 -0.042	 -0.277
           7787	  0.150	 42.698	 -0.043	 -0.261
           7788	  0.150	 42.698	 -0.042	 -0.255
           7789	  0.155	 42.488	 -0.044	 -0.248
           7790	  0.145	 42.907	 -0.042	 -0.264
           7791	  0.160	 42.698	 -0.043	 -0.270
           7792	  0.160	 44.581	 -0.040	 -0.284
           7793	  0.170	 45.419	 -0.035	 -0.277
           7794	  0.175	 47.093	 -0.033	 -0.283
           7795	  0.180	 48.977	 -0.033	 -0.272
           7796	  0.170	 51.070	 -0.030	 -0.275
           7797	  0.190	 52.953	 -0.027	 -0.259
           7798	  0.185	 55.465	 -0.023	 -0.259
           7799	  0.200	 58.605	 -0.022	 -0.252
           7800	  0.195	 61.326	 -0.020	 -0.255
           7801	  0.200	 63.837	 -0.019	 -0.249
           7802	  0.190	 66.767	 -0.020	 -0.272
           7803	  0.200	 69.488	 -0.020	 -0.267
           7804	  0.220	 72.209	 -0.021	 -0.284
           7805	  0.220	 75.558	 -0.022	 -0.287
           7806	  0.230	 78.070	 -0.025	 -0.291
           7807	  0.220	 80.581	 -0.023	 -0.278
           7808	  0.220	 83.512	 -0.021	 -0.287
           7809	  0.225	 86.442	 -0.025	 -0.288
           7810	  0.220	 88.744	 -0.027	 -0.284
           7811	  0.220	 90.628	 -0.030	 -0.265
           7812	  0.215	 92.721	 -0.033	 -0.267
           7813	  0.210	 94.605	 -0.035	 -0.265
           7814	  0.205	 96.070	 -0.035	 -0.265
           7815	  0.200	 97.116	 -0.038	 -0.275
           7816	  0.200	 98.372	 -0.041	 -0.277
           7817	  0.195	 99.837	 -0.042	 -0.300
           7818	  0.185	101.093	 -0.040	 -0.290
           7819	  0.180	101.512	 -0.040	 -0.296
           7820	  0.160	101.721	 -0.040	 -0.278
           7821	  0.150	102.349	 -0.036	 -0.278
           7822	  0.130	102.349	 -0.031	 -0.268
           7823	  0.120	102.139	 -0.027	 -0.272
           7824	  0.100	102.139	 -0.021	 -0.267
           7825	  0.095	101.721	 -0.015	 -0.267
           7826	  0.060	100.884	 -0.008	 -0.264
           7827	  0.060	100.256	 -0.005	 -0.287
           7828	  0.050	 99.000	 -0.000	 -0.283
           7829	  0.035	 98.163	  0.004	 -0.290
           7830	  0.020	 96.698	  0.005	 -0.290
           7831	  0.020	 95.860	  0.006	 -0.301
           7832	  0.015	 93.977	  0.007	 -0.293
           7833	  0.010	 92.930	  0.009	 -0.283
           7834	 -0.000	 91.674	  0.006	 -0.284
           7835	 -0.000	 90.000	  0.001	 -0.267
           7836	 -0.005	 88.535	 -0.000	 -0.267
           7837	 -0.000	 87.488	 -0.006	 -0.258
           7838	 -0.000	 86.233	 -0.008	 -0.272
           7839	 -0.000	 84.767	 -0.010	 -0.267
           7840	 -0.000	 83.093	 -0.009	 -0.290
           7841	 -0.000	 82.465	 -0.012	 -0.275
           7842	 -0.000	 80.581	 -0.013	 -0.294
           7843	 -0.000	 79.953	 -0.014	 -0.283
           7844	 -0.000	 78.698	 -0.017	 -0.284
           7845	 -0.000	 77.860	 -0.018	 -0.283
           7846	  0.015	 77.023	 -0.017	 -0.283
           7847	  0.015	 76.395	 -0.013	 -0.267
           7848	  0.020	 75.349	 -0.010	 -0.283
           7849	  0.015	 74.512	 -0.009	 -0.264
           7850	  0.010	 73.674	 -0.006	 -0.283
           7851	  0.020	 73.046	 -0.004	 -0.267
           7852	  0.020	 72.209	 -0.002	 -0.290
           7853	  0.015	 71.372	 -0.000	 -0.293
           7854	  0.025	 70.744	  0.002	 -0.304
           7855	  0.035	 70.326	  0.004	 -0.291
           7856	  0.035	 69.488	  0.002	 -0.291
           7857	  0.025	 68.860	  0.003	 -0.291
           7858	  0.035	 68.023	  0.007	 -0.293
           7859	  0.040	 67.186	  0.004	 -0.278
           7860	  0.040	 66.977	  0.004	 -0.271
           7861	  0.025	 65.721	  0.008	 -0.275
           7862	  0.040	 65.302	  0.010	 -0.267
           7863	  0.040	 64.674	  0.011	 -0.270
           7864	  0.040	 64.256	  0.009	 -0.284
           7865	  0.055	 63.000	  0.012	 -0.294
           7866	  0.060	 62.372	  0.006	 -0.284
           7867	  0.040	 62.163	  0.005	 -0.287
           7868	  0.040	 61.744	  0.006	 -0.280
           7869	  0.050	 61.326	  0.001	 -0.291
           7870	  0.040	 60.698	 -0.003	 -0.278
           7871	  0.050	 60.070	 -0.005	 -0.272
           7872	  0.050	 59.651	 -0.005	 -0.268
           7873	  0.050	 59.651	 -0.005	 -0.257
           7874	  0.040	 59.442	 -0.007	 -0.259
           7875	  0.055	 58.814	 -0.007	 -0.261
           7876	  0.045	 59.023	 -0.007	 -0.264
           7877	  0.040	 58.814	 -0.006	 -0.272
           7878	  0.040	 58.186	 -0.004	 -0.270
           7879	  0.035	 58.395	 -0.001	 -0.288
           7880	  0.050	 58.186	  0.001	 -0.283
           7881	  0.060	 58.186	  0.000	 -0.271
           7882	  0.040	 57.977	  0.005	 -0.267
           7883	  0.045	 57.977	  0.009	 -0.258
           7884	  0.045	 58.395	  0.009	 -0.252
           7885	  0.060	 58.186	  0.009	 -0.243
           7886	  0.040	 58.395	  0.009	 -0.246
           7887	  0.060	 58.186	  0.006	 -0.239
           7888	  0.050	 58.605	  0.002	 -0.255
           7889	  0.040	 58.814	  0.001	 -0.245
           7890	  0.050	 58.186	 -0.001	 -0.270
           7891	  0.060	 58.814	 -0.007	 -0.258
           7892	  0.050	 59.233	 -0.009	 -0.267
           7893	  0.060	 59.233	 -0.010	 -0.267
           7894	  0.060	 59.651	 -0.016	 -0.262
           7895	  0.060	 59.860	 -0.020	 -0.258
           7896	  0.065	 60.488	 -0.021	 -0.249
           7897	  0.055	 60.488	 -0.021	 -0.245
           7898	  0.060	 60.279	 -0.019	 -0.243
           7899	  0.060	 60.698	 -0.015	 -0.248
           7900	  0.075	 60.907	 -0.015	 -0.251
           7901	  0.060	 61.326	 -0.011	 -0.249
           7902	  0.060	 61.326	 -0.009	 -0.255
           7903	  0.060	 61.326	 -0.011	 -0.267
           7904	  0.070	 61.326	 -0.011	 -0.261
           7905	  0.060	 61.744	 -0.015	 -0.262
           7906	  0.070	 62.372	 -0.018	 -0.261
           7907	  0.060	 62.163	 -0.018	 -0.251
           7908	  0.060	 62.163	 -0.017	 -0.243
           7909	  0.055	 62.372	 -0.019	 -0.239
           7910	  0.065	 62.372	 -0.021	 -0.232
           7911	  0.065	 62.163	 -0.018	 -0.233
           7912	  0.060	 62.372	 -0.016	 -0.235
           7913	  0.065	 62.372	 -0.013	 -0.232
           7914	  0.070	 62.163	 -0.008	 -0.248
           7915	  0.080	 62.163	 -0.005	 -0.246
           7916	  0.065	 61.953	 -0.004	 -0.251
           7917	  0.080	 62.163	 -0.002	 -0.243
           7918	  0.080	 62.163	 -0.000	 -0.249
           7919	  0.070	 62.163	 -0.000	 -0.236
           7920	  0.075	 61.953	 -0.003	 -0.222
           7921	  0.080	 61.326	 -0.004	 -0.233
           7922	  0.085	 61.116	 -0.007	 -0.209
           7923	  0.085	 61.326	 -0.012	 -0.217
           7924	  0.085	 61.116	 -0.018	 -0.210
           7925	  0.075	 60.698	 -0.024	 -0.235
           7926	  0.095	 60.488	 -0.029	 -0.216
           7927	  0.085	 60.070	 -0.034	 -0.232
           7928	  0.080	 60.279	 -0.038	 -0.238
           7929	  0.095	 60.070	 -0.041	 -0.232
