sample interval	    ECG	     BP	(C4-A1)	(nasal)	(chest)	    EOG	    EMG
           8866	 -0.176	 94.635	 -0.011	 -0.059	 -0.161	 -0.095	  0.003
           8867	 -0.184	 94.741	 -0.005	 -0.059	 -0.161	 -0.093	  0.020
           8868	 -0.184	 94.741	 -0.013	 -0.059	 -0.161	 -0.089	 -0.010
           8869	 -0.206	 95.061	 -0.012	 -0.057	 -0.161	 -0.088	  0.009
           8870	 -0.200	 95.382	 -0.008	 -0.056	 -0.162	 -0.089	 -0.003
           8871	 -0.180	 95.808	 -0.015	 -0.055	 -0.162	 -0.087	 -0.001
           8872	 -0.178	 96.128	 -0.003	 -0.055	 -0.162	 -0.088	 -0.001
           8873	 -0.162	 96.555	 -0.010	 -0.056	 -0.162	 -0.087	  0.029
           8874	 -0.168	 96.875	 -0.008	 -0.055	 -0.162	 -0.087	  0.004
           8875	 -0.188	 97.195	 -0.002	 -0.056	 -0.162	 -0.091	  0.010
           8876	 -0.156	 97.729	 -0.003	 -0.054	 -0.161	 -0.093	 -0.001
           8877	 -0.192	 98.049	 -0.001	 -0.054	 -0.161	 -0.093	 -0.007
           8878	 -0.170	 98.476	  0.001	 -0.055	 -0.162	 -0.090	  0.001
           8879	 -0.188	 98.796	  0.000	 -0.056	 -0.161	 -0.088	  0.025
           8880	 -0.180	 99.009	 -0.001	 -0.055	 -0.161	 -0.089	 -0.008
           8881	 -0.184	 99.222	 -0.000	 -0.055	 -0.161	 -0.093	  0.013
           8882	 -0.184	 99.543	 -0.000	 -0.055	 -0.160	 -0.100	 -0.002
           8883	 -0.174	 99.649	  0.009	 -0.053	 -0.161	 -0.103	 -0.004
           8884	 -0.192	 99.863	 -0.006	 -0.052	 -0.160	 -0.107	  0.008
           8885	 -0.198	 99.863	 -0.021	 -0.053	 -0.160	 -0.107	 -0.005
           8886	 -0.186	 99.969	 -0.005	 -0.052	 -0.161	 -0.103	  0.012
           8887	 -0.194	 99.756	 -0.007	 -0.052	 -0.161	 -0.098	 -0.001
           8888	 -0.178	 99.649	 -0.009	 -0.051	 -0.160	 -0.095	  0.016
           8889	 -0.192	 99.649	 -0.004	 -0.051	 -0.160	 -0.095	 -0.005
           8890	 -0.136	 99.543	 -0.005	 -0.053	 -0.160	 -0.097	  0.017
           8891	 -0.166	 99.222	 -0.001	 -0.052	 -0.160	 -0.099	  0.003
           8892	 -0.174	 98.902	 -0.000	 -0.052	 -0.160	 -0.100	 -0.011
           8893	 -0.198	 98.796	 -0.009	 -0.053	 -0.160	 -0.097	  0.006
           8894	 -0.200	 98.369	  0.003	 -0.055	 -0.159	 -0.100	  0.005
           8895	 -0.172	 98.049	 -0.012	 -0.054	 -0.159	 -0.103	  0.001
           8896	 -0.184	 97.729	 -0.012	 -0.055	 -0.159	 -0.106	  0.022
           8897	 -0.192	 97.409	 -0.008	 -0.055	 -0.159	 -0.105	  0.001
           8898	 -0.194	 96.875	 -0.015	 -0.056	 -0.159	 -0.101	  0.003
           8899	 -0.202	 96.555	 -0.018	 -0.055	 -0.159	 -0.095	 -0.006
           8900	 -0.196	 96.235	 -0.018	 -0.057	 -0.159	 -0.089	 -0.009
           8901	 -0.184	 95.808	 -0.009	 -0.056	 -0.159	 -0.087	 -0.003
           8902	 -0.176	 95.275	 -0.003	 -0.056	 -0.158	 -0.092	  0.005
           8903	 -0.202	 94.955	 -0.000	 -0.055	 -0.158	 -0.099	  0.005
           8904	 -0.166	 94.421	  0.003	 -0.055	 -0.158	 -0.108	  0.004
           8905	 -0.144	 93.995	 -0.000	 -0.055	 -0.158	 -0.113	  0.018
           8906	 -0.118	 93.461	 -0.003	 -0.055	 -0.157	 -0.114	 -0.010
           8907	 -0.072	 93.034	 -0.006	 -0.056	 -0.157	 -0.109	  0.004
           8908	 -0.078	 92.501	 -0.001	 -0.055	 -0.156	 -0.106	  0.001
           8909	 -0.074	 92.074	  0.004	 -0.057	 -0.156	 -0.105	  0.002
           8910	 -0.080	 91.647	 -0.001	 -0.055	 -0.156	 -0.105	  0.002
           8911	 -0.056	 91.221	  0.002	 -0.055	 -0.156	 -0.109	 -0.003
           8912	 -0.078	 90.687	  0.004	 -0.055	 -0.157	 -0.112	  0.006
           8913	 -0.054	 90.260	  0.000	 -0.055	 -0.156	 -0.112	  0.020
           8914	 -0.024	 89.834	  0.002	 -0.055	 -0.156	 -0.107	 -0.004
           8915	 -0.008	 89.407	 -0.003	 -0.056	 -0.156	 -0.104	  0.012
           8916	 -0.002	 88.980	 -0.006	 -0.057	 -0.157	 -0.100	 -0.003
           8917	  0.062	 88.447	 -0.003	 -0.056	 -0.156	 -0.095	  0.016
           8918	  0.056	 88.127	  0.003	 -0.056	 -0.156	 -0.096	  0.007
           8919	  0.044	 87.700	  0.005	 -0.056	 -0.156	 -0.098	  0.009
           8920	  0.040	 87.273	 -0.000	 -0.055	 -0.156	 -0.104	  0.005
           8921	  0.014	 86.846	 -0.003	 -0.056	 -0.156	 -0.110	 -0.006
           8922	  0.004	 86.420	 -0.011	 -0.056	 -0.156	 -0.116	  0.003
           8923	  0.008	 85.993	 -0.015	 -0.057	 -0.156	 -0.114	 -0.003
           8924	 -0.000	 85.673	 -0.023	 -0.055	 -0.155	 -0.114	  0.002
           8925	 -0.008	 85.459	 -0.024	 -0.055	 -0.155	 -0.111	  0.029
           8926	 -0.060	 85.139	 -0.024	 -0.055	 -0.155	 -0.109	  0.003
           8927	 -0.114	 84.712	 -0.016	 -0.056	 -0.155	 -0.106	  0.010
           8928	 -0.166	 84.499	 -0.013	 -0.056	 -0.155	 -0.106	 -0.007
           8929	 -0.214	 84.286	 -0.008	 -0.056	 -0.155	 -0.110	 -0.001
           8930	 -0.256	 83.859	  0.002	 -0.056	 -0.155	 -0.114	 -0.004
           8931	 -0.292	 83.646	  0.003	 -0.055	 -0.155	 -0.116	  0.006
           8932	 -0.284	 83.432	  0.009	 -0.057	 -0.155	 -0.118	 -0.010
           8933	 -0.288	 83.112	  0.007	 -0.055	 -0.155	 -0.114	  0.013
           8934	 -0.290	 83.005	  0.012	 -0.056	 -0.155	 -0.112	  0.002
           8935	 -0.296	 82.792	  0.004	 -0.055	 -0.155	 -0.112	  0.006
           8936	 -0.292	 82.579	  0.001	 -0.057	 -0.155	 -0.110	  0.029
           8937	 -0.302	 82.152	  0.001	 -0.055	 -0.155	 -0.111	 -0.007
           8938	 -0.272	 82.152	 -0.003	 -0.057	 -0.154	 -0.107	  0.006
           8939	 -0.274	 82.045	  0.002	 -0.056	 -0.154	 -0.103	 -0.006
           8940	 -0.280	 81.832	 -0.003	 -0.056	 -0.154	 -0.098	 -0.007
           8941	 -0.290	 81.618	 -0.001	 -0.056	 -0.154	 -0.095	  0.004
           8942	 -0.298	 81.192	 -0.010	 -0.055	 -0.153	 -0.097	 -0.001
           8943	 -0.288	 81.298	 -0.012	 -0.055	 -0.153	 -0.103	  0.032
           8944	 -0.290	 81.192	 -0.015	 -0.057	 -0.153	 -0.106	 -0.006
           8945	 -0.318	 81.192	 -0.020	 -0.055	 -0.153	 -0.105	  0.007
           8946	 -0.280	 80.872	 -0.022	 -0.055	 -0.153	 -0.103	  0.007
           8947	 -0.288	 80.978	 -0.027	 -0.055	 -0.153	 -0.101	 -0.007
           8948	 -0.314	 80.658	 -0.027	 -0.057	 -0.153	 -0.102	  0.000
           8949	 -0.388	 80.658	 -0.022	 -0.056	 -0.153	 -0.104	  0.009
           8950	 -0.388	 80.658	 -0.030	 -0.057	 -0.152	 -0.110	 -0.001
           8951	 -0.394	 80.552	 -0.023	 -0.055	 -0.152	 -0.113	  0.009
           8952	 -0.274	 80.445	 -0.020	 -0.056	 -0.151	 -0.116	 -0.001
           8953	 -0.012	 80.445	 -0.014	 -0.055	 -0.151	 -0.119	  0.004
           8954	  0.380	 80.338	  0.006	 -0.055	 -0.151	 -0.123	  0.000
           8955	  1.024	 80.231	  0.016	 -0.054	 -0.151	 -0.129	  0.005
           8956	  1.752	 80.125	  0.031	 -0.053	 -0.151	 -0.134	  0.014
           8957	  2.298	 80.231	  0.043	 -0.052	 -0.151	 -0.141	  0.017
           8958	  2.396	 80.018	  0.048	 -0.051	 -0.151	 -0.141	  0.035
           8959	  1.936	 80.018	  0.027	 -0.051	 -0.151	 -0.138	  0.012
           8960	  1.270	 80.018	  0.021	 -0.051	 -0.151	 -0.129	  0.007
           8961	  0.376	 80.018	  0.002	 -0.051	 -0.151	 -0.118	  0.003
           8962	 -0.268	 79.698	 -0.000	 -0.051	 -0.151	 -0.106	 -0.002
           8963	 -0.612	 79.698	 -0.009	 -0.053	 -0.150	 -0.091	 -0.002
           8964	 -0.832	 79.698	 -0.012	 -0.054	 -0.150	 -0.079	  0.016
           8965	 -0.836	 79.485	 -0.013	 -0.055	 -0.150	 -0.080	 -0.012
           8966	 -0.802	 79.485	 -0.011	 -0.056	 -0.150	 -0.078	  0.009
           8967	 -0.728	 79.165	 -0.023	 -0.056	 -0.149	 -0.087	 -0.002
           8968	 -0.680	 79.058	 -0.026	 -0.055	 -0.149	 -0.095	 -0.008
           8969	 -0.574	 79.058	 -0.014	 -0.053	 -0.149	 -0.095	 -0.005
           8970	 -0.534	 78.951	 -0.023	 -0.051	 -0.149	 -0.091	  0.034
           8971	 -0.544	 78.738	 -0.020	 -0.051	 -0.149	 -0.087	 -0.002
           8972	 -0.468	 78.631	 -0.025	 -0.051	 -0.149	 -0.088	 -0.006
           8973	 -0.524	 78.311	 -0.022	 -0.052	 -0.148	 -0.089	 -0.006
           8974	 -0.466	 78.311	 -0.023	 -0.051	 -0.148	 -0.095	 -0.005
           8975	 -0.498	 78.098	 -0.032	 -0.052	 -0.148	 -0.102	 -0.004
           8976	 -0.440	 77.884	 -0.023	 -0.052	 -0.149	 -0.105	  0.022
           8977	 -0.448	 77.884	 -0.026	 -0.054	 -0.149	 -0.110	 -0.002
           8978	 -0.460	 77.778	 -0.021	 -0.053	 -0.149	 -0.114	  0.013
           8979	 -0.456	 77.458	 -0.021	 -0.054	 -0.149	 -0.114	 -0.006
           8980	 -0.464	 77.244	 -0.024	 -0.052	 -0.149	 -0.114	  0.001
           8981	 -0.466	 76.924	 -0.028	 -0.051	 -0.149	 -0.110	 -0.013
           8982	 -0.472	 76.924	 -0.025	 -0.051	 -0.149	 -0.103	  0.010
           8983	 -0.400	 76.604	 -0.028	 -0.051	 -0.149	 -0.105	  0.024
           8984	 -0.458	 76.497	  0.004	 -0.052	 -0.149	 -0.107	  0.014
           8985	 -0.482	 76.177	 -0.019	 -0.051	 -0.149	 -0.109	  0.001
           8986	 -0.394	 76.071	 -0.016	 -0.053	 -0.149	 -0.103	 -0.002
           8987	 -0.408	 75.750	  0.029	 -0.052	 -0.149	 -0.090	  0.005
           8988	 -0.424	 75.750	 -0.001	 -0.051	 -0.149	 -0.080	  0.029
           8989	 -0.446	 75.430	  0.026	 -0.053	 -0.149	 -0.062	 -0.002
           8990	 -0.456	 75.324	 -0.022	 -0.052	 -0.149	 -0.047	  0.018
           8991	 -0.400	 75.110	 -0.014	 -0.051	 -0.149	 -0.044	 -0.000
           8992	 -0.376	 75.004	 -0.007	 -0.051	 -0.149	 -0.059	  0.000
           8993	 -0.318	 74.897	 -0.014	 -0.050	 -0.148	 -0.090	 -0.014
           8994	 -0.336	 74.897	 -0.038	 -0.051	 -0.148	 -0.124	  0.005
           8995	 -0.358	 74.790	 -0.008	 -0.051	 -0.147	 -0.142	  0.012
           8996	 -0.352	 74.684	 -0.029	 -0.047	 -0.147	 -0.140	 -0.001
           8997	 -0.360	 74.577	 -0.022	 -0.047	 -0.146	 -0.133	 -0.006
           8998	 -0.396	 74.470	 -0.035	 -0.049	 -0.146	 -0.124	 -0.014
           8999	 -0.392	 74.684	 -0.040	 -0.046	 -0.146	 -0.128	 -0.012
           9000	 -0.368	 74.897	 -0.027	 -0.046	 -0.145	 -0.132	  0.022
           9001	 -0.414	 75.110	 -0.037	 -0.045	 -0.145	 -0.126	 -0.001
           9002	  0.018	 75.537	 -0.016	 -0.046	 -0.144	 -0.112	  0.029
           9003	 -0.326	 76.177	 -0.011	 -0.045	 -0.142	 -0.111	  0.010
           9004	 -0.508	 77.031	 -0.008	 -0.046	 -0.141	 -0.108	  0.019
           9005	 -0.384	 78.311	 -0.032	 -0.045	 -0.139	 -0.115	  0.008
           9006	 -0.304	 79.698	 -0.020	 -0.044	 -0.137	 -0.116	  0.020
           9007	 -0.296	 81.512	 -0.049	 -0.044	 -0.135	 -0.107	  0.002
           9008	 -0.148	 83.219	 -0.010	 -0.045	 -0.132	 -0.103	 -0.001
           9009	 -0.234	 85.566	 -0.001	 -0.044	 -0.128	 -0.116	 -0.003
           9010	 -0.302	 87.913	  0.012	 -0.044	 -0.125	 -0.132	 -0.010
           9011	 -0.214	 90.580	  0.005	 -0.042	 -0.121	 -0.150	 -0.009
           9012	 -0.184	 93.034	  0.012	 -0.042	 -0.117	 -0.148	  0.038
           9013	 -0.210	 96.022	  0.015	 -0.042	 -0.111	 -0.138	  0.003
           9014	 -0.292	 99.009	  0.028	 -0.041	 -0.106	 -0.128	  0.010
           9015	 -0.282	102.103	  0.043	 -0.042	 -0.101	 -0.129	 -0.002
           9016	 -0.266	105.090	  0.016	 -0.040	 -0.096	 -0.139	  0.012
           9017	 -0.268	108.398	 -0.006	 -0.039	 -0.090	 -0.148	  0.024
           9018	 -0.224	111.492	 -0.008	 -0.040	 -0.086	 -0.144	  0.000
           9019	 -0.200	114.586	 -0.031	 -0.038	 -0.081	 -0.127	  0.023
           9020	 -0.182	117.787	 -0.007	 -0.038	 -0.077	 -0.112	  0.000
           9021	 -0.100	120.774	  0.035	 -0.038	 -0.073	 -0.112	 -0.014
           9022	 -0.166	123.441	  0.035	 -0.038	 -0.070	 -0.113	  0.009
           9023	 -0.144	125.788	  0.023	 -0.040	 -0.066	 -0.116	 -0.006
           9024	 -0.192	128.242	  0.021	 -0.040	 -0.064	 -0.119	  0.015
           9025	 -0.214	130.483	  0.001	 -0.042	 -0.061	 -0.109	 -0.001
           9026	 -0.154	132.403	  0.022	 -0.039	 -0.059	 -0.100	 -0.007
           9027	 -0.224	134.004	 -0.002	 -0.039	 -0.057	 -0.103	 -0.022
           9028	 -0.256	135.391	 -0.015	 -0.039	 -0.056	 -0.107	 -0.022
           9029	 -0.112	136.458	  0.013	 -0.041	 -0.054	 -0.115	 -0.000
           9030	 -0.140	137.418	  0.058	 -0.042	 -0.052	 -0.141	  0.009
           9031	 -0.114	138.058	  0.076	 -0.043	 -0.050	 -0.172	  0.015
           9032	 -0.184	138.485	  0.049	 -0.042	 -0.048	 -0.194	  0.024
           9033	 -0.178	138.698	  0.037	 -0.042	 -0.046	 -0.204	  0.000
           9034	 -0.116	138.805	  0.034	 -0.041	 -0.044	 -0.193	  0.009
           9035	 -0.188	138.805	  0.001	 -0.041	 -0.042	 -0.171	 -0.011
           9036	 -0.144	138.698	 -0.020	 -0.043	 -0.040	 -0.156	 -0.005
           9037	 -0.306	138.271	 -0.001	 -0.043	 -0.038	 -0.154	 -0.010
           9038	 -0.184	138.058	 -0.033	 -0.043	 -0.036	 -0.153	 -0.004
           9039	 -0.264	137.631	 -0.019	 -0.042	 -0.034	 -0.150	 -0.009
           9040	 -0.280	137.098	 -0.008	 -0.042	 -0.032	 -0.139	  0.024
           9041	 -0.304	136.458	  0.044	 -0.041	 -0.029	 -0.135	  0.012
           9042	 -0.266	135.817	  0.023	 -0.042	 -0.027	 -0.132	 -0.001
           9043	 -0.218	135.391	  0.036	 -0.040	 -0.025	 -0.149	  0.008
           9044	 -0.236	134.644	  0.005	 -0.039	 -0.022	 -0.165	 -0.001
           9045	 -0.204	134.110	  0.023	 -0.038	 -0.020	 -0.170	 -0.002
           9046	 -0.206	133.470	  0.013	 -0.038	 -0.017	 -0.162	 -0.001
           9047	 -0.292	132.937	  0.024	 -0.038	 -0.014	 -0.148	  0.006
           9048	 -0.346	132.083	  0.029	 -0.039	 -0.011	 -0.141	  0.000
           9049	 -0.248	131.763	  0.029	 -0.038	 -0.009	 -0.147	  0.039
           9050	 -0.332	131.230	  0.032	 -0.038	 -0.007	 -0.163	  0.004
           9051	 -0.222	130.803	  0.026	 -0.037	 -0.005	 -0.174	  0.032
           9052	 -0.344	130.269	  0.008	 -0.034	 -0.003	 -0.172	 -0.033
           9053	 -0.300	129.949	 -0.027	 -0.032	 -0.000	 -0.159	  0.008
           9054	 -0.230	129.309	 -0.025	 -0.030	  0.002	 -0.152	 -0.018
           9055	 -0.230	128.989	 -0.001	 -0.030	  0.004	 -0.157	  0.003
           9056	 -0.276	128.562	  0.027	 -0.030	  0.006	 -0.175	  0.024
           9057	 -0.290	128.136	  0.035	 -0.032	  0.008	 -0.191	 -0.009
           9058	 -0.344	127.602	  0.034	 -0.033	  0.009	 -0.199	  0.034
           9059	 -0.242	127.175	  0.025	 -0.033	  0.010	 -0.187	 -0.013
           9060	 -0.288	126.855	  0.009	 -0.033	  0.011	 -0.164	  0.007
           9061	 -0.288	126.322	  0.027	 -0.033	  0.012	 -0.147	 -0.008
           9062	 -0.272	125.788	  0.048	 -0.034	  0.013	 -0.152	 -0.017
           9063	 -0.346	125.255	  0.002	 -0.034	  0.014	 -0.166	  0.016
           9064	 -0.342	124.828	  0.015	 -0.034	  0.014	 -0.185	 -0.014
           9065	 -0.330	124.081	  0.004	 -0.035	  0.015	 -0.195	  0.012
           9066	 -0.316	123.335	  0.009	 -0.033	  0.017	 -0.178	  0.019
           9067	 -0.278	122.694	  0.025	 -0.033	  0.018	 -0.162	  0.004
           9068	 -0.242	121.841	  0.014	 -0.031	  0.020	 -0.153	 -0.002
           9069	 -0.268	120.881	  0.016	 -0.030	  0.021	 -0.160	  0.009
           9070	 -0.282	119.814	 -0.022	 -0.030	  0.022	 -0.181	  0.001
           9071	 -0.252	118.747	  0.010	 -0.030	  0.024	 -0.195	  0.008
           9072	 -0.272	117.146	  0.018	 -0.027	  0.026	 -0.203	 -0.004
           9073	 -0.226	115.760	  0.055	 -0.027	  0.027	 -0.198	 -0.010
           9074	 -0.244	114.266	  0.057	 -0.026	  0.027	 -0.193	  0.004
           9075	 -0.312	112.879	  0.024	 -0.026	  0.028	 -0.185	  0.008
           9076	 -0.266	111.065	  0.031	 -0.025	  0.029	 -0.188	  0.009
           9077	 -0.278	109.251	  0.015	 -0.026	  0.030	 -0.186	 -0.008
           9078	 -0.234	107.758	  0.014	 -0.026	  0.031	 -0.182	 -0.001
           9079	 -0.268	105.944	  0.031	 -0.026	  0.031	 -0.184	  0.006
           9080	 -0.208	104.344	  0.045	 -0.025	  0.032	 -0.190	 -0.015
           9081	 -0.184	103.063	  0.042	 -0.026	  0.033	 -0.195	  0.006
           9082	 -0.224	101.783	  0.030	 -0.027	  0.033	 -0.198	  0.021
           9083	 -0.160	100.503	  0.014	 -0.027	  0.034	 -0.196	 -0.005
           9084	 -0.192	 99.649	  0.011	 -0.030	  0.034	 -0.191	  0.007
           9085	 -0.152	 98.689	 -0.009	 -0.027	  0.034	 -0.196	 -0.013
           9086	 -0.146	 98.049	  0.014	 -0.028	  0.035	 -0.203	 -0.005
           9087	 -0.152	 97.515	  0.018	 -0.026	  0.034	 -0.209	  0.004
           9088	 -0.124	 97.195	  0.013	 -0.026	  0.034	 -0.213	 -0.010
           9089	 -0.184	 96.875	  0.022	 -0.026	  0.034	 -0.212	  0.009
           9090	 -0.192	 96.662	  0.013	 -0.025	  0.034	 -0.207	  0.001
           9091	 -0.168	 96.555	  0.022	 -0.025	  0.034	 -0.203	 -0.000
           9092	 -0.182	 96.555	  0.013	 -0.025	  0.034	 -0.197	 -0.000
           9093	 -0.172	 96.662	  0.014	 -0.025	  0.033	 -0.186	  0.018
           9094	 -0.162	 97.089	  0.012	 -0.025	  0.033	 -0.177	  0.004
           9095	 -0.144	 97.195	  0.010	 -0.025	  0.033	 -0.176	  0.001
           9096	 -0.112	 97.515	  0.024	 -0.025	  0.033	 -0.177	  0.016
           9097	 -0.106	 97.942	  0.014	 -0.025	  0.033	 -0.186	 -0.009
           9098	 -0.118	 98.049	  0.012	 -0.025	  0.032	 -0.188	  0.003
           9099	 -0.146	 98.582	  0.013	 -0.024	  0.032	 -0.188	 -0.004
           9100	 -0.120	 98.902	  0.012	 -0.024	  0.032	 -0.184	 -0.001
           9101	 -0.140	 99.329	  0.014	 -0.024	  0.031	 -0.180	  0.001
           9102	 -0.134	 99.543	  0.016	 -0.025	  0.031	 -0.178	  0.008
           9103	 -0.138	100.076	  0.010	 -0.024	  0.030	 -0.179	  0.003
           9104	 -0.158	100.076	  0.010	 -0.025	  0.029	 -0.183	  0.013
           9105	 -0.142	100.396	  0.011	 -0.025	  0.028	 -0.182	  0.004
           9106	 -0.134	100.503	  0.004	 -0.025	  0.027	 -0.184	  0.007
           9107	 -0.136	100.716	  0.003	 -0.025	  0.027	 -0.182	  0.002
           9108	 -0.120	100.823	 -0.001	 -0.025	  0.026	 -0.179	 -0.001
           9109	 -0.122	100.716	 -0.000	 -0.025	  0.024	 -0.182	  0.028
           9110	 -0.136	100.716	  0.018	 -0.026	  0.023	 -0.184	 -0.005
           9111	 -0.134	100.716	  0.016	 -0.026	  0.022	 -0.190	  0.012
           9112	 -0.146	100.503	  0.019	 -0.025	  0.021	 -0.191	 -0.000
           9113	 -0.104	100.396	  0.019	 -0.025	  0.020	 -0.186	 -0.015
           9114	 -0.174	100.396	  0.020	 -0.025	  0.019	 -0.178	  0.009
           9115	 -0.170	100.076	  0.018	 -0.024	  0.018	 -0.169	  0.001
           9116	 -0.136	 99.649	  0.020	 -0.025	  0.018	 -0.164	  0.003
           9117	 -0.112	 99.222	  0.020	 -0.025	  0.019	 -0.167	  0.005
           9118	 -0.128	 99.009	  0.022	 -0.023	  0.019	 -0.168	  0.002
           9119	 -0.112	 98.689	  0.018	 -0.022	  0.020	 -0.167	  0.014
           9120	 -0.126	 98.156	  0.020	 -0.022	  0.021	 -0.164	  0.002
           9121	 -0.106	 97.729	  0.013	 -0.023	  0.022	 -0.158	 -0.002
           9122	 -0.124	 97.195	  0.029	 -0.022	  0.022	 -0.156	 -0.001
           9123	 -0.132	 96.769	  0.018	 -0.025	  0.022	 -0.157	 -0.007
           9124	 -0.126	 96.235	  0.018	 -0.022	  0.022	 -0.158	  0.006
           9125	 -0.104	 95.808	  0.033	 -0.022	  0.022	 -0.159	 -0.002
           9126	 -0.108	 95.382	  0.020	 -0.020	  0.022	 -0.160	 -0.007
           9127	 -0.080	 94.848	  0.027	 -0.022	  0.022	 -0.157	 -0.000
           9128	 -0.076	 94.421	  0.026	 -0.023	  0.022	 -0.153	  0.003
           9129	 -0.080	 93.675	  0.021	 -0.025	  0.021	 -0.153	  0.014
           9130	 -0.040	 93.248	  0.020	 -0.025	  0.020	 -0.153	 -0.006
           9131	 -0.048	 92.821	  0.014	 -0.021	  0.020	 -0.152	  0.005
           9132	  0.012	 92.181	  0.013	 -0.021	  0.018	 -0.155	 -0.005
           9133	 -0.032	 91.541	  0.012	 -0.019	  0.017	 -0.147	 -0.007
           9134	  0.016	 91.221	  0.008	 -0.019	  0.016	 -0.143	 -0.007
           9135	  0.012	 90.687	  0.013	 -0.018	  0.014	 -0.144	  0.001
           9136	  0.050	 90.154	  0.021	 -0.020	  0.013	 -0.149	  0.000
           9137	  0.050	 89.620	  0.013	 -0.020	  0.011	 -0.153	  0.003
           9138	  0.048	 88.980	  0.015	 -0.019	  0.009	 -0.153	  0.020
           9139	  0.066	 88.660	  0.019	 -0.020	  0.007	 -0.150	 -0.014
           9140	  0.090	 88.127	  0.020	 -0.019	  0.004	 -0.144	  0.021
           9141	  0.108	 87.593	  0.030	 -0.020	  0.002	 -0.138	  0.006
           9142	  0.088	 87.166	  0.026	 -0.019	 -0.000	 -0.133	 -0.018
           9143	  0.080	 86.846	  0.046	 -0.019	 -0.002	 -0.131	  0.004
           9144	  0.012	 86.420	  0.026	 -0.018	 -0.004	 -0.132	 -0.021
           9145	  0.096	 85.993	  0.026	 -0.019	 -0.007	 -0.138	 -0.001
           9146	  0.030	 85.779	  0.032	 -0.017	 -0.009	 -0.143	 -0.001
           9147	  0.064	 85.353	  0.032	 -0.015	 -0.011	 -0.141	  0.005
           9148	  0.028	 84.712	  0.030	 -0.013	 -0.013	 -0.138	 -0.006
           9149	  0.008	 84.712	  0.021	 -0.013	 -0.016	 -0.134	 -0.004
           9150	 -0.048	 84.286	  0.027	 -0.013	 -0.018	 -0.131	  0.000
           9151	 -0.122	 84.072	  0.033	 -0.013	 -0.020	 -0.131	  0.002
           9152	 -0.180	 83.539	  0.027	 -0.014	 -0.022	 -0.130	  0.003
           9153	 -0.210	 83.432	  0.020	 -0.013	 -0.025	 -0.126	  0.014
           9154	 -0.254	 83.005	  0.019	 -0.013	 -0.027	 -0.123	 -0.002
           9155	 -0.256	 82.792	  0.020	 -0.013	 -0.029	 -0.122	  0.005
           9156	 -0.226	 82.579	  0.016	 -0.012	 -0.031	 -0.120	 -0.004
           9157	 -0.256	 82.472	  0.013	 -0.009	 -0.032	 -0.118	 -0.001
           9158	 -0.202	 82.152	  0.021	 -0.005	 -0.034	 -0.118	 -0.002
           9159	 -0.226	 81.939	  0.016	 -0.006	 -0.036	 -0.119	 -0.002
           9160	 -0.240	 81.725	  0.023	 -0.004	 -0.038	 -0.121	  0.002
           9161	 -0.224	 81.512	  0.011	 -0.003	 -0.040	 -0.121	  0.000
           9162	 -0.266	 81.405	  0.019	 -0.002	 -0.042	 -0.121	  0.001
           9163	 -0.256	 81.085	  0.001	 -0.001	 -0.044	 -0.117	  0.000
           9164	 -0.234	 81.085	  0.006	 -0.001	 -0.045	 -0.112	  0.019
           9165	 -0.278	 80.978	 -0.001	 -0.000	 -0.047	 -0.114	 -0.005
           9166	 -0.256	 80.765	  0.009	 -0.000	 -0.047	 -0.115	  0.004
           9167	 -0.228	 80.445	  0.012	  0.002	 -0.049	 -0.116	 -0.006
           9168	 -0.248	 80.445	  0.017	  0.003	 -0.049	 -0.122	 -0.007
           9169	 -0.256	 80.445	  0.016	  0.004	 -0.050	 -0.122	  0.001
           9170	 -0.268	 80.231	  0.014	  0.004	 -0.051	 -0.119	  0.002
           9171	 -0.290	 80.125	  0.019	  0.006	 -0.052	 -0.117	 -0.000
           9172	 -0.320	 80.018	  0.012	  0.007	 -0.052	 -0.109	  0.001
           9173	 -0.350	 80.018	  0.007	  0.006	 -0.053	 -0.107	 -0.007
           9174	 -0.344	 79.911	  0.011	  0.008	 -0.053	 -0.109	  0.018
           9175	 -0.154	 79.805	  0.019	  0.008	 -0.053	 -0.111	 -0.019
           9176	  0.098	 79.591	  0.023	  0.013	 -0.053	 -0.119	  0.007
           9177	  0.730	 79.591	  0.030	  0.014	 -0.053	 -0.123	  0.008
           9178	  1.422	 79.591	  0.053	  0.015	 -0.053	 -0.129	  0.014
           9179	  2.168	 79.378	  0.054	  0.017	 -0.052	 -0.135	  0.015
           9180	  2.362	 79.165	  0.044	  0.017	 -0.052	 -0.136	  0.007
           9181	  2.230	 79.165	  0.042	  0.018	 -0.052	 -0.135	  0.018
           9182	  1.630	 79.058	  0.023	  0.018	 -0.052	 -0.132	  0.010
           9183	  0.792	 79.058	  0.005	  0.021	 -0.051	 -0.124	 -0.002
           9184	 -0.072	 78.951	 -0.001	  0.022	 -0.050	 -0.115	  0.002
           9185	 -0.414	 78.844	 -0.012	  0.024	 -0.050	 -0.102	  0.015
           9186	 -0.810	 78.631	 -0.009	  0.024	 -0.049	 -0.087	 -0.012
           9187	 -0.886	 78.524	 -0.006	  0.026	 -0.049	 -0.083	  0.004
           9188	 -0.808	 78.524	 -0.008	  0.030	 -0.049	 -0.081	 -0.009
